State,Area_name,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
FL,"Calhoun County, FL","4,938","4,725",213,4.3,"38,323",69.1
FL,"Charlotte County, FL","70,712","67,821","2,891",4.1,"52,724",95.1
FL,"Citrus County, FL","47,451","44,929","2,522",5.3,"41,556",75.0
FL,"Clay County, FL","105,706","102,156","3,550",3.4,"62,835",113.4
FL,"Collier County, FL","177,521","171,288","6,233",3.5,"70,649",127.4
FL,"Columbia County, FL","29,385","28,259","1,126",3.8,"46,195",83.3
FL,"DeSoto County, FL","13,694","13,145",549,4.0,"37,233",67.2
FL,"Dixie County, FL","5,772","5,526",246,4.3,"37,148",67.0
FL,"Duval County, FL","482,972","465,288","17,684",3.7,"55,733",100.5
FL,"Escambia County, FL","142,919","137,719","5,200",3.6,"50,644",91.4
FL,"Flagler County, FL","46,602","44,659","1,943",4.2,"58,975",106.4
FL,"Franklin County, FL","4,720","4,553",167,3.5,"40,297",72.7
FL,"Gadsden County, FL","18,356","17,506",850,4.6,"42,259",76.2
FL,"Gilchrist County, FL","7,021","6,753",268,3.8,"42,186",76.1
FL,"Glades County, FL","5,221","5,012",209,4.0,"38,680",69.8
FL,"Gulf County, FL","5,991","5,719",272,4.5,"45,426",81.9
FL,"Hamilton County, FL","4,366","4,181",185,4.2,"36,299",65.5
